msg_count,ind_latency,recv_latency,class_latency,alloc_latency,tot_latency
4967.0,0.5,3.78,56.2,1.88,62.36
4968.0,0.53,3.82,51.56,1.71,57.62
4969.0,0.53,3.82,51.47,2.33,58.14
4970.0,0.48,3.92,53.6,2.25,60.24
4971.0,0.48,3.92,50.47,1.94,56.8
4972.0,0.49,3.81,51.63,2.16,58.09
4973.0,0.49,3.81,49.35,2.51,56.16
4974.0,0.52,3.92,51.13,1.81,57.38
4975.0,0.52,3.92,50.17,2.2,56.82
4976.0,0.52,3.8,55.9,1.88,62.1
4977.0,0.52,3.8,49.99,1.95,56.26
4978.0,0.45,3.94,51.33,2.04,57.76
4979.0,0.45,3.94,51.1,2.6,58.1
4980.0,0.52,3.87,52.86,1.47,58.72
4981.0,0.52,3.87,50.91,2.14,57.45
4982.0,0.52,4.0,53.13,1.91,59.57
4983.0,0.52,4.0,49.38,1.53,55.43
4984.0,0.5,3.93,52.0,2.51,58.94
4985.0,0.5,3.93,49.78,1.86,56.08
4986.0,0.49,3.91,51.45,1.77,57.62
4987.0,0.49,3.91,50.3,1.73,56.43
4988.0,0.5,3.97,57.85,1.91,64.23
4989.0,0.5,3.97,53.25,2.33,60.06
4990.0,0.51,3.78,51.24,2.29,57.82
4991.0,0.51,3.78,51.0,2.1,57.39
4992.0,0.5,3.84,52.02,1.78,58.14
4993.0,0.5,3.84,50.86,1.92,57.11
4994.0,0.51,3.77,53.59,2.44,60.31
4995.0,0.51,3.77,50.34,2.28,56.89
4996.0,0.53,3.88,50.44,2.42,57.27
4997.0,0.53,3.88,50.41,2.2,57.02
4998.0,0.51,3.92,50.91,1.96,57.3
4999.0,0.51,3.92,62.52,1.96,68.92
5000.0,0.51,3.82,53.76,2.07,60.15
