msg_count,ind_latency,recv_latency,class_latency,alloc_latency,tot_latency
899.0,12.47,54.04,73.56,0.92,140.98
900.0,10.05,11.62,66.65,1.96,90.28
901.0,10.27,4.29,73.05,1.12,88.72
902.0,10.35,4.35,84.65,2.0,101.35
903.0,12.09,72.36,108.62,2.8,195.87
904.0,10.26,159.7,108.5,2.24,280.7
905.0,11.54,62.74,73.42,1.26,148.95
906.0,10.24,104.81,98.33,1.62,214.99
907.0,13.52,173.04,93.93,3.04,283.53
908.0,10.04,98.87,101.75,1.68,212.33
909.0,17.68,98.61,70.77,1.17,188.23
910.0,12.07,4.21,84.08,2.47,102.83
911.0,10.44,40.94,83.92,2.98,138.27
912.0,11.64,5.72,77.77,1.34,96.47
913.0,10.79,3.92,96.18,1.5,112.39
914.0,11.63,5.18,92.04,1.66,110.51
915.0,9.65,91.56,106.83,2.7,210.74
916.0,11.33,181.63,117.55,2.1,312.61
917.0,10.33,287.46,104.67,3.15,405.61
918.0,10.98,320.06,101.61,1.37,434.02
919.0,10.87,370.18,98.89,1.04,480.97
920.0,10.48,140.79,102.92,1.71,255.91
921.0,10.39,235.37,76.83,1.25,323.84
922.0,9.9,5.14,92.33,1.24,108.62
923.0,10.44,4.27,93.63,1.46,109.8
924.0,11.7,4.02,94.97,3.19,113.87
925.0,13.11,102.07,87.41,1.31,203.9
926.0,11.08,163.6,97.01,3.12,274.81
927.0,10.43,121.75,106.15,2.32,240.65
928.0,10.56,224.72,140.07,2.32,377.68
929.0,11.72,299.52,103.68,1.76,416.69
930.0,11.38,161.44,134.43,2.14,309.38
931.0,11.8,258.84,103.12,1.59,375.35
932.0,11.95,7.68,109.39,1.4,130.43
933.0,11.4,106.04,131.75,1.64,250.82
934.0,14.35,81.59,95.17,0.77,191.88
935.0,10.84,55.02,93.42,1.59,160.88
936.0,10.57,152.25,98.21,1.48,262.5
937.0,11.37,111.77,87.19,1.34,211.66
938.0,12.05,149.46,82.71,1.1,245.32
939.0,10.17,111.33,105.0,3.12,229.62
940.0,10.02,71.77,92.4,1.37,175.58
941.0,14.8,158.37,100.32,1.86,275.34
942.0,10.23,4.3,96.16,1.19,111.87
943.0,14.31,6.08,99.9,1.62,121.91
944.0,10.01,51.41,95.36,2.11,158.9
945.0,11.11,28.54,95.43,1.6,136.68
946.0,11.3,117.67,85.18,1.21,215.36
947.0,11.38,127.05,82.19,1.35,221.96
948.0,10.77,135.76,73.76,1.12,221.41
949.0,11.01,68.32,75.02,0.79,155.15
950.0,9.78,10.71,78.77,1.35,100.62
951.0,10.93,5.75,89.6,1.34,107.61
952.0,10.13,4.84,82.08,0.92,97.97
953.0,12.14,5.75,86.97,2.04,106.9
954.0,10.42,7.19,112.67,3.07,133.35
955.0,15.67,103.98,100.16,1.01,220.81
956.0,13.95,207.77,102.74,1.02,325.48
957.0,10.52,204.26,86.22,1.19,302.19
958.0,10.61,197.23,82.66,2.26,292.75
959.0,10.01,217.53,93.18,1.14,321.85
960.0,11.34,85.13,82.62,1.21,180.3
961.0,10.53,9.1,107.05,1.34,128.03
962.0,14.21,115.85,85.56,1.83,217.45
963.0,10.7,5.55,103.93,1.52,121.7
964.0,10.31,94.63,94.86,1.06,200.86
965.0,10.22,150.84,102.64,1.78,265.49
966.0,10.81,19.54,100.93,1.49,132.77
967.0,11.75,107.58,104.76,1.88,225.98
968.0,11.58,75.14,89.23,1.6,177.55
969.0,10.42,130.35,91.88,1.24,233.89
970.0,11.8,158.63,83.11,1.22,254.75
971.0,12.59,8.03,75.95,1.63,98.21
972.0,13.09,6.15,73.11,5.68,98.02
973.0,12.72,8.85,77.2,2.19,100.96
974.0,23.8,43.94,66.55,1.38,135.66
975.0,10.72,74.86,116.4,1.68,203.66
976.0,11.37,198.62,104.05,1.4,315.43
977.0,10.3,205.59,107.82,1.66,325.38
978.0,10.55,183.39,101.53,2.32,297.78
979.0,10.49,207.81,90.38,1.6,310.29
980.0,9.96,259.42,90.45,1.3,361.13
981.0,12.33,6.97,88.44,1.53,109.27
982.0,10.14,5.53,80.81,1.58,98.07
983.0,11.25,4.18,77.93,1.53,94.89
984.0,10.33,4.15,77.3,1.19,92.97
985.0,10.08,26.12,80.98,3.25,120.43
986.0,10.45,97.6,91.41,1.09,200.56
