tx_brate downlink (kbps),rx_brate uplink (kbps),sum_requested_prbs,slice_target
26.880000000000003,0.0,33,2
21.919999999999998,0.0,31,1
1077.98,100.0,750,0
128.06400000000002,0.0,500,0
31.711999999999996,0.0,14,2
11.456,0.0,50,2
15.5181,0.0,32,2
910.5600000000001,100.0,250,0
5.5261,0.0,7,2
20.851399999999998,0.0,491,1
10.624,0.0,10,2
990.1370000000001,100.0,952,0
17.024,0.0,412,1
16.512,0.0,22,2
10.8916,0.0,79,2
21.269099999999998,0.0,28,1
10.911999999999999,0.0,6,2
1195.76,0.0,721,0
16.672,100.0,16,1
10.496,0.0,54,2
74.88,100.0,250,0
855.968,100.0,753,0
0.0,0.0,500,2
24.288,0.0,143,2
18.112,0.0,404,1
37.536,0.0,38,1
32.7068,0.0,353,2
6.56,0.0,126,2
16.8353,0.0,125,2
10.056199999999999,100.0,9,2
5.248,0.0,83,2
52.8514,0.0,60,1
303.422,100.0,500,0
62.4,0.0,52,1
43.488,100.0,96,1
63.93600000000001,0.0,255,1
14.911999999999999,0.0,241,2
10.784,0.0,55,1
41.728,0.0,470,1
11.520000000000001,100.0,53,2
528.704,100.0,250,0
427.47,0.0,500,0
12.064,0.0,61,2
55.168,0.0,106,0
54.176,0.0,530,1
919.648,0.0,225,0
34.923700000000004,0.0,44,1
10.975999999999999,0.0,500,0
77.75999999999999,100.0,234,0
32.416,0.0,43,1
5.44,0.0,3,2
0.0,0.0,250,2
500.33700000000005,100.0,996,0
50.464,0.0,9,1
56.672,0.0,62,1
135.83999999999997,0.0,293,0
14.239999999999998,100.0,38,0
34.024100000000004,0.0,89,1
1028.74,0.0,434,0
5.3759999999999994,100.0,20,2
725.696,0.0,750,0
25.696,0.0,777,0
0.0,0.0,992,2
10.751999999999999,0.0,8,2
5.312,0.0,9,2
16.8675,0.0,45,2
95.328,0.0,250,0
941.3439999999999,0.0,500,0
0.0,100.0,213,1
5.36546,0.0,24,2
1022.02,0.0,500,0
38.464,100.0,46,1
24.096,0.0,81,1
226.464,100.0,147,0
10.7631,0.0,23,2
48.4498,100.0,83,2
22.016000000000002,0.0,31,2
0.0,0.0,500,2
16.3855,0.0,19,2
32.9317,0.0,74,1
49.888000000000005,0.0,99,1
10.624,0.0,12,2
0.0,0.0,250,2
5.4079999999999995,0.0,7,2
42.368,0.0,151,1
306.528,0.0,250,0
184.32000000000002,100.0,42,0
2.016,0.0,99,2
41.5422,0.0,48,1
16.0,0.0,89,2
5.4079999999999995,0.0,10,2
0.0,0.0,498,1
16.2249,100.0,192,2
33.279999999999994,100.0,74,1
21.087999999999997,0.0,18,2
37.248000000000005,0.0,143,1
14.040199999999999,0.0,147,2
17.28,0.0,29,1
59.392,0.0,84,1
21.919999999999998,0.0,13,2
15.456,0.0,12,2
31.871999999999996,0.0,37,1
27.662699999999997,100.0,57,1
587.904,0.0,225,0
1154.73,0.0,692,0
986.72,0.0,654,0
36.8,0.0,75,1
30.592000000000002,0.0,335,0
0.0,0.0,208,1
44.6908,0.0,173,1
5.312,0.0,4,2
78.3293,0.0,76,1
473.317,0.0,251,0
10.72,0.0,20,2
38.048,0.0,31,1
243.277,100.0,500,0
16.224,0.0,13,2
53.28,0.0,18,1
8.096,0.0,164,2
509.63199999999995,100.0,500,0
47.584,0.0,619,1
96.096,100.0,750,0
6.976000000000001,0.0,25,2
16.3855,100.0,18,2
978.859,0.0,556,0
20.608,0.0,21,1
5.62249,0.0,4,2
34.496,0.0,535,1
39.135999999999996,0.0,167,1
144.96,100.0,85,0
1348.1000000000001,100.0,389,0
0.0,0.0,500,0
597.976,0.0,675,0
21.248,0.0,15,2
17.631999999999998,0.0,68,2
46.656000000000006,0.0,44,1
36.672000000000004,0.0,47,1
160.992,0.0,174,0
1006.9699999999999,0.0,411,0
29.494,0.0,42,2
16.896,100.0,45,2
21.28,0.0,107,2
37.92,0.0,278,1
27.040000000000003,100.0,25,1
120.867,0.0,327,0
533.856,0.0,1500,0
518.432,0.0,389,0
0.0,0.0,250,2
36.48,100.0,304,1
200.96,100.0,500,0
42.272,100.0,37,1
1276.9299999999998,100.0,179,0
16.128,100.0,8,2
21.44,0.0,15,2
21.9438,0.0,22,1
0.0,0.0,500,0
10.666699999999999,0.0,36,2
10.751999999999999,0.0,90,2
47.1325,0.0,58,1
0.0,0.0,498,0
0.0,0.0,500,1
50.570299999999996,0.0,127,1
4.5120000000000005,0.0,6,2
15.9036,100.0,221,2
1040.3500000000001,0.0,602,0
5.6546199999999995,100.0,11,2
36.064,0.0,81,1
53.9116,100.0,166,1
62.9719,0.0,632,1
11.136,0.0,23,2
366.592,0.0,500,0
47.936,0.0,128,1
32.416,0.0,96,1
16.160600000000002,100.0,186,2
11.616,0.0,37,2
453.376,100.0,250,0
6.2329300000000005,0.0,36,2
24.096,0.0,380,2
10.624,100.0,15,2
25.568,100.0,62,1
960.416,0.0,809,0
207.968,100.0,188,0
63.839999999999996,0.0,267,1
33.253,0.0,76,1
7.424,0.0,339,2
12.607999999999999,0.0,92,2
0.0,0.0,500,2
114.4,0.0,250,0
60.8,0.0,584,1
10.336,0.0,25,2
56.4177,100.0,668,1
32.5462,100.0,282,1
12.064,100.0,32,2
41.44,100.0,294,1
