tx_brate downlink (kbps),tx_pkts downlink,rx_brate uplink (kbps),rx_pkts uplink,slice_target
21.6546,9.0,0.0,0.0,2
5.33333,2.0,0.0,0.0,2
10.506,3.0,0.0,0.0,2
5.33333,2.0,0.0,0.0,2
10.8916,6.0,0.0,0.0,2
19.020100000000003,30.0,0.0,0.0,2
10.8273,6.0,0.0,0.0,2
16.610400000000002,5.0,0.0,0.0,2
16.8353,13.0,0.0,0.0,2
23.775100000000002,4.0,0.0,0.0,2
26.8916,11.0,0.0,0.0,2
7.00402,15.0,0.0,0.0,2
33.3494,63.0,0.0,0.0,2
15.1968,37.0,100.0,16.0,2
16.1285,7.0,0.0,0.0,2
17.2851,10.0,0.0,0.0,2
5.33333,2.0,0.0,0.0,2
16.3534,10.0,0.0,0.0,2
10.656,4.0,0.0,0.0,2
12.864,11.0,100.0,3.0,2
16.739,13.0,0.0,0.0,2
13.7831,28.0,0.0,0.0,2
8.25703,15.0,0.0,0.0,2
22.2651,14.0,0.0,0.0,2
10.6345,4.0,0.0,0.0,2
21.4297,9.0,0.0,0.0,2
22.1044,14.0,0.0,0.0,2
18.4739,23.0,0.0,0.0,2
12.530100000000001,19.0,0.0,0.0,2
18.144000000000002,24.0,0.0,0.0,2
8.12851,23.0,0.0,0.0,2
9.83133,14.0,0.0,0.0,2
6.176,9.0,0.0,0.0,2
26.016000000000002,46.0,0.0,0.0,2
10.988,7.0,0.0,0.0,2
22.4257,15.0,0.0,0.0,2
11.008000000000001,6.0,0.0,0.0,2
5.33333,2.0,0.0,4.0,2
5.33333,2.0,0.0,0.0,2
21.2048,47.0,0.0,0.0,2
11.2,9.0,0.0,4.0,2
5.5261,4.0,0.0,0.0,2
14.2972,26.0,0.0,2.0,2
2.21687,4.0,0.0,0.0,2
5.6546199999999995,4.0,0.0,0.0,2
22.0402,12.0,0.0,0.0,2
16.384,10.0,0.0,0.0,2
2.15261,5.0,0.0,0.0,2
16.512,23.0,0.0,0.0,2
11.502,10.0,0.0,0.0,2
20.048199999999998,38.0,0.0,0.0,2
20.3373,48.0,0.0,0.0,2
32.96,60.0,0.0,0.0,2
15.8394,45.0,0.0,0.0,2
22.939799999999998,51.0,0.0,0.0,2
15.3896,34.0,0.0,0.0,2
12.915700000000001,22.0,0.0,0.0,2
17.831300000000002,60.0,0.0,0.0,2
28.4016,64.0,0.0,4.0,2
5.91165,6.0,0.0,4.0,2
38.008,59.0,0.0,0.0,2
21.494,40.0,0.0,4.0,2
14.6185,36.0,0.0,4.0,2
10.5382,22.0,0.0,4.0,2
7.22892,17.0,0.0,4.0,2
20.6908,44.0,0.0,0.0,2
14.425699999999999,32.0,0.0,0.0,2
20.755,37.0,0.0,0.0,2
28.2731,63.0,100.0,2.0,2
11.6627,12.0,0.0,3.0,2
14.4578,33.0,0.0,2.0,2
15.9036,45.0,0.0,4.0,2
18.912000000000003,30.0,0.0,4.0,2
16.739,12.0,0.0,0.0,2
28.080299999999998,22.0,0.0,4.0,2
20.883499999999998,23.0,0.0,4.0,2
23.4859,50.0,0.0,0.0,2
8.83534,25.0,0.0,0.0,2
12.3695,55.0,0.0,0.0,2
13.5904,27.0,100.0,4.0,2
20.6586,42.0,0.0,4.0,2
